[2026-06-16 09:58:18,759] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/products/ | status=201
[2026-06-16 09:58:21,416] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:21,424] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 09:58:24,201] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:24,210] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 09:58:26,950] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:26,960] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 09:58:29,797] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:29,801] INFO audit - AUDIT | user=manager_test | method=PATCH | path=/api/approvals/requests/1/approve/ | status=400
[2026-06-16 09:58:35,128] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:35,130] INFO audit - AUDIT | user=viewer_test | method=POST | path=/api/warehouses/ | status=403
[2026-06-16 10:03:01,075] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:07,953] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 10:03:14,805] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:14,813] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/ | status=405
[2026-06-16 10:03:21,336] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:21,347] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/zones/ | status=201
[2026-06-16 10:03:27,959] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:27,975] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/racks/ | status=201
[2026-06-16 10:03:34,488] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:34,499] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/bins/ | status=201
[2026-06-16 10:03:41,035] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:41,043] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/categories/ | status=201
[2026-06-16 10:03:41,088] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/products/ | status=201
[2026-06-16 10:03:47,927] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:47,947] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:03:54,890] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:54,909] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:03:59,631] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:03:59,637] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 10:04:02,496] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:04:02,501] INFO audit - AUDIT | user=manager_test | method=PATCH | path=/api/approvals/requests/1/approve/ | status=400
[2026-06-16 10:04:07,704] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:04:07,706] INFO audit - AUDIT | user=viewer_test | method=POST | path=/api/warehouses/ | status=405
[2026-06-16 10:06:34,478] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:37,103] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 10:06:39,769] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:39,777] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/ | status=201
[2026-06-16 10:06:42,429] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:42,431] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/zones/ | status=405
[2026-06-16 10:06:45,085] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:45,089] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/racks/ | status=405
[2026-06-16 10:06:47,742] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:47,745] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/bins/ | status=405
[2026-06-16 10:06:50,324] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:50,328] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/categories/ | status=201
[2026-06-16 10:06:50,334] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/products/ | status=201
[2026-06-16 10:06:52,983] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:52,990] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:06:55,634] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:55,641] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:06:58,320] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:06:58,326] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 10:07:00,989] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:07:00,996] INFO audit - AUDIT | user=manager_test | method=PATCH | path=/api/approvals/requests/1/approve/ | status=200
[2026-06-16 10:07:06,316] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:07:06,318] INFO audit - AUDIT | user=viewer_test | method=POST | path=/api/warehouses/ | status=403
[2026-06-16 10:09:45,856] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:09:48,671] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 10:09:51,468] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:09:51,478] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/ | status=201
[2026-06-16 10:09:54,195] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:09:54,200] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/zones/ | status=201
[2026-06-16 10:09:56,895] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:09:56,900] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/racks/ | status=201
[2026-06-16 10:09:59,579] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:09:59,584] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/bins/ | status=201
[2026-06-16 10:10:02,341] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:02,344] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/categories/ | status=201
[2026-06-16 10:10:02,348] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/products/ | status=201
[2026-06-16 10:10:05,081] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:05,089] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:10:07,873] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:07,880] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 10:10:10,792] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:10,798] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 10:10:13,569] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:13,575] INFO audit - AUDIT | user=manager_test | method=PATCH | path=/api/approvals/requests/1/approve/ | status=200
[2026-06-16 10:10:18,778] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 10:10:18,780] INFO audit - AUDIT | user=viewer_test | method=POST | path=/api/warehouses/ | status=403
[2026-06-16 11:00:41,028] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 11:00:44,533] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 11:00:50,039] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 11:01:07,465] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/approvals/ | status=404
[2026-06-16 11:07:24,809] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 11:07:26,518] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 11:07:29,157] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 11:07:41,951] INFO audit - AUDIT | user=staff2 | method=POST | path=/api/approvals/ | status=405
[2026-06-16 11:14:46,804] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 11:14:47,789] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 11:14:49,307] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 11:14:56,462] INFO audit - AUDIT | user=staff2 | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 11:28:00,493] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 11:28:01,477] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 11:28:02,941] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 11:28:10,029] INFO audit - AUDIT | user=staff2 | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-16 11:30:04,304] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 11:30:05,347] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 11:30:06,817] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 11:30:13,717] INFO audit - AUDIT | user=staff2 | method=POST | path=/api/approvals/requests/ | status=201
[2026-06-17 09:41:43,459] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:44,318] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:45,136] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:45,914] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:46,678] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:47,501] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:49,185] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=401
[2026-06-17 09:41:55,442] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:41:59,360] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:03,373] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:03,375] INFO audit - AUDIT | user=sec_staff | method=POST | path=/api/v1/auth/users/ | status=405
[2026-06-17 09:42:07,168] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:07,171] INFO audit - AUDIT | user=sec_staff | method=DELETE | path=/api/v1/warehouses/1/ | status=403
[2026-06-17 09:42:14,564] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:14,578] INFO audit - AUDIT | user=sec_viewer | method=POST | path=/api/v1/inventory/products/ | status=403
[2026-06-17 09:42:17,131] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:17,135] INFO audit - AUDIT | user=val_inv_admin | method=POST | path=/api/v1/inventory/items/ | status=400
[2026-06-17 09:42:18,658] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:18,661] INFO audit - AUDIT | user=val_inv_admin | method=POST | path=/api/v1/inventory/items/ | status=400
[2026-06-17 09:42:20,263] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:20,351] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=201
[2026-06-17 09:42:20,357] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=400
[2026-06-17 09:42:22,037] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:22,040] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=400
[2026-06-17 09:42:23,540] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:23,544] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=400
[2026-06-17 09:42:25,674] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:25,677] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=400
[2026-06-17 09:42:27,880] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:27,886] INFO audit - AUDIT | user=val_admin | method=POST | path=/api/v1/inventory/products/ | status=201
[2026-06-17 09:42:29,960] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:29,964] INFO audit - AUDIT | user=val_mv_admin | method=POST | path=/api/v1/inventory/movements/ | status=400
[2026-06-17 09:42:31,616] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:31,619] INFO audit - AUDIT | user=val_mv_admin | method=POST | path=/api/v1/inventory/movements/ | status=400
[2026-06-17 09:42:34,608] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:34,619] INFO audit - AUDIT | user=val_wh_admin | method=POST | path=/api/v1/warehouses/ | status=400
[2026-06-17 09:42:34,632] INFO audit - AUDIT | user=val_wh_admin | method=POST | path=/api/v1/warehouses/ | status=400
[2026-06-17 09:42:38,688] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/v1/auth/login/ | status=200
[2026-06-17 09:42:38,718] INFO audit - AUDIT | user=val_wh_admin | method=POST | path=/api/v1/warehouses/ | status=400
